MFile 1 3 480
MTrk
0 Tempo 267857
0 KeySig -4 major
53435 On ch=1 n=c6 v=0
53440 On ch=1 n=c#6 v=60
53595 On ch=1 n=c#6 v=0
53600 On ch=1 n=b5 v=60
53755 On ch=1 n=b5 v=0
53760 On ch=1 n=c6 v=60
53915 On ch=1 n=c6 v=0
53920 On ch=1 n=f#6 v=60
54075 On ch=1 n=f#6 v=0
54080 On ch=1 n=g6 v=60
54235 On ch=1 n=g6 v=0
54240 Par ch=1 c=64 v=127
54240 On ch=1 n=c6 v=60
54395 On ch=1 n=c6 v=0
54400 On ch=1 n=c#6 v=60
54555 On ch=1 n=c#6 v=0
54560 On ch=1 n=b5 v=60
54715 On ch=1 n=b5 v=0
54720 On ch=1 n=c6 v=60
54875 On ch=1 n=c6 v=0
54880 On ch=1 n=d#6 v=60
55035 On ch=1 n=d#6 v=0
55040 On ch=1 n=c#6 v=60
55195 On ch=1 n=c#6 v=0
55200 Par ch=1 c=64 v=0
55200 On ch=1 n=c6 v=60
55355 On ch=1 n=c6 v=0
55360 On ch=1 n=c#6 v=60
55515 On ch=1 n=c#6 v=0
55520 On ch=1 n=b5 v=60
55675 On ch=1 n=b5 v=0
55680 On ch=1 n=c6 v=60
55835 On ch=1 n=c6 v=0
55840 On ch=1 n=g#6 v=60
55995 On ch=1 n=g#6 v=0
56000 On ch=1 n=f6 v=60
56155 On ch=1 n=f6 v=0
56160 Par ch=1 c=64 v=127
56160 On ch=1 n=d#6 v=60
56315 On ch=1 n=d#6 v=0
56320 On ch=1 n=f6 v=60
56475 On ch=1 n=f6 v=0
56480 On ch=1 n=d#6 v=60
56635 On ch=1 n=d#6 v=0
