MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
32460 On ch=1 n=d#5 v=32
32490 On ch=1 n=d#4 v=23
32508 On ch=1 n=d#3 v=22
32514 On ch=1 n=c#5 v=0
32517 Par ch=1 c=64 v=0
32538 On ch=1 n=c#3 v=0
32762 Par ch=1 c=64 v=127
32854 On ch=1 n=d#5 v=0
32942 On ch=1 n=d#3 v=0
32950 On ch=1 n=d#4 v=0
33122 On ch=1 n=c#5 v=28
33152 On ch=1 n=g#3 v=11
33154 On ch=1 n=g#2 v=21
33158 On ch=1 n=g4 v=16
33160 On ch=1 n=e4 v=17
33286 Par ch=1 c=64 v=0
33454 Par ch=1 c=64 v=127
33522 On ch=1 n=e4 v=0
33558 On ch=1 n=c#5 v=0
33568 On ch=1 n=g4 v=0
33806 On ch=1 n=g#4 v=14
33809 On ch=1 n=d#4 v=14
33814 On ch=1 n=b4 v=21
33900 Par ch=1 c=64 v=0
34100 Par ch=1 c=64 v=127
34160 On ch=1 n=d#4 v=0
34194 On ch=1 n=g#4 v=0
34342 On ch=1 n=b4 v=0
34364 On ch=1 n=a#4 v=26
34376 Par ch=1 c=64 v=0
34402 On ch=1 n=c#4 v=26
34410 On ch=1 n=g4 v=32
34514 On ch=1 n=g#2 v=0
34558 On ch=1 n=c#4 v=0
34566 On ch=1 n=g#3 v=0
34576 Par ch=1 c=64 v=127
34616 On ch=1 n=g4 v=0
34692 On ch=1 n=a#4 v=0
35024 On ch=1 n=g#6 v=60
35042 On ch=1 n=g#5 v=21
35052 On ch=1 n=g#4 v=18
35084 On ch=1 n=g#3 v=12
35096 On ch=1 n=b3 v=18
35222 Par ch=1 c=64 v=0
35326 On ch=1 n=b3 v=0
35360 Par ch=1 c=64 v=127
35386 On ch=1 n=g#3 v=0
35432 On ch=1 n=g#4 v=0
35504 On ch=1 n=g#5 v=0
35564 On ch=1 n=c#4 v=22
35576 On ch=1 n=e4 v=20
35582 On ch=1 n=a6 v=54
35590 Par ch=1 c=64 v=0
35614 On ch=1 n=a5 v=18
35626 On ch=1 n=g#6 v=0
35684 On ch=1 n=e4 v=0
35758 Par ch=1 c=64 v=127
35822 On ch=1 n=a6 v=0
35886 On ch=1 n=e4 v=24
35910 On ch=1 n=a5 v=0
35970 On ch=1 n=e4 v=0
36118 On ch=1 n=e6 v=52
36160 On ch=1 n=e5 v=19
36350 On ch=1 n=a4 v=26
36354 On ch=1 n=e6 v=0
36370 On ch=1 n=e5 v=0
36450 On ch=1 n=a4 v=0
36642 On ch=1 n=g#4 v=35
36664 On ch=1 n=c#6 v=42
36684 On ch=1 n=c#5 v=34
36704 On ch=1 n=e4 v=29
36772 On ch=1 n=e4 v=0
36906 On ch=1 n=e4 v=29
36920 On ch=1 n=c#4 v=0
36926 Par ch=1 c=64 v=0
37044 On ch=1 n=c#5 v=0
37080 Par ch=1 c=64 v=127
37178 On ch=1 n=e6 v=69
37188 On ch=1 n=e5 v=53
37242 On ch=1 n=c#6 v=0
37280 On ch=1 n=e4 v=0
37342 On ch=1 n=e5 v=0
37406 On ch=1 n=c#4 v=36
37436 On ch=1 n=e6 v=0
37600 On ch=1 n=c#4 v=0
37678 On ch=1 n=b3 v=19
37681 On ch=1 n=g#6 v=73
37684 On ch=1 n=g#5 v=47
37694 On ch=1 n=d#4 v=26
37724 On ch=1 n=g#4 v=0
37774 On ch=1 n=d#4 v=0
37942 Par ch=1 c=64 v=0
37972 On ch=1 n=d#4 v=39
38094 Par ch=1 c=64 v=127
38100 On ch=1 n=g#6 v=0
38116 On ch=1 n=g#5 v=0
38248 On ch=1 n=d#6 v=60
38260 On ch=1 n=d#5 v=46
38262 On ch=1 n=d#4 v=0
38414 On ch=1 n=d#6 v=0
38472 On ch=1 n=d#5 v=0
38482 On ch=1 n=g#4 v=41
38556 On ch=1 n=g#4 v=0
38678 On ch=1 n=b3 v=0
38756 On ch=1 n=b5 v=53
38758 On ch=1 n=f#4 v=38
38764 On ch=1 n=b4 v=29
38768 On ch=1 n=d#4 v=40
38786 Par ch=1 c=64 v=0
38892 On ch=1 n=d#4 v=0
38954 Par ch=1 c=64 v=127
39024 On ch=1 n=d#4 v=39
39044 On ch=1 n=b4 v=0
39104 On ch=1 n=b5 v=0
39130 On ch=1 n=d#4 v=0
39252 On ch=1 n=d#6 v=63
39258 On ch=1 n=d#5 v=52
39420 On ch=1 n=d#5 v=0
39470 On ch=1 n=b3 v=37
39566 On ch=1 n=d#6 v=0
39634 On ch=1 n=b3 v=0
39704 On ch=1 n=f#4 v=0
39734 On ch=1 n=f#6 v=69
39746 On ch=1 n=f#5 v=36
39752 On ch=1 n=a#3 v=40
39754 Par ch=1 c=64 v=0
39754 On ch=1 n=c#4 v=40
39826 On ch=1 n=c#4 v=0
39984 Par ch=1 c=64 v=127
40026 On ch=1 n=c#4 v=36
40134 On ch=1 n=f#6 v=0
40146 On ch=1 n=f#5 v=0
40212 On ch=1 n=c#4 v=0
40242 On ch=1 n=e6 v=57
40258 On ch=1 n=e5 v=41
40314 On ch=1 n=e5 v=0
